cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_boundary_rule,lower_boundary_rule,upper_boundary_ratio_from_rear,lower_boundary_ratio_from_rear,boundary_mean_ratio_from_rear,boundary_side_ratio_difference,upper_boundary_x_m,upper_boundary_y_m,lower_boundary_x_m,lower_boundary_y_m,connector_length_m,rear_halfplane_sign,rear_side_core_point_count,projection_grid_cell_size_m,projection_grid_cell_count,valley_connected_rear_torso_projected_area_m2,existing_pca_45_48_core_area_m2,source_top_ply,area_definition,method_version,status
119,495.0,193.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5307129140784617,0.5719333345894102,0.5513231243339359,-0.04122042051094854,0.31290855603114887,0.17065421522206758,0.33702514429283853,-0.27756883718199565,0.44887137861062104,-0.47306749633551964,21007,0.01,5812,0.5812,0.7362,point_clouds/cow_119_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
120,493.0,188.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5810806336493393,0.5756499735217753,0.5783653035855573,0.005430660127563991,0.6155084431453289,-0.02888428762440859,0.5783072637946701,-0.47618789013910323,0.44884790360177,-0.47796998635490545,22779,0.01,6081,0.6081,0.7614,point_clouds/cow_120_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
122,486.0,189.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5326104171839242,0.5747973809212648,0.5537038990525944,-0.042186963737340544,0.35380083403450285,0.2343316868870594,0.47107870592221757,-0.21380914862871597,0.46323245535183355,-0.47914566172754286,22066,0.01,5928,0.5928,0.8006,point_clouds/cow_122_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
123,545.0,192.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.6060043570940683,0.580106734996031,0.5930555460450497,0.025897622098037254,0.5495850638510017,0.3597946104716368,0.4606449210744625,-0.06745061859036815,0.43640443942901896,-0.4951333941311698,21817,0.01,6277,0.6277,0.789,point_clouds/cow_123_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
124,484.0,184.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5076378239204864,0.5801575130519844,0.5438976684862353,-0.07251968913149798,0.2730673833610354,0.4280211078021452,0.4293789143287996,-0.03382598488196481,0.48758182055348537,-0.49778580283416635,21574,0.01,5901,0.5901000000000001,0.7786,point_clouds/cow_124_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
125,411.0,194.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5196803347744677,0.5984197794372659,0.5590500571058667,-0.07873944466279814,0.4016860066517275,0.2831189691343784,0.5449020401003817,-0.14255641224268695,0.4491217680621549,-0.45434103632242173,21356,0.01,5793,0.5793,0.7776,point_clouds/cow_125_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
126,512.0,190.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.565960488637969,0.565960488637969,0.565960488637969,0.0,0.26489702181122127,0.4128064603303226,0.148469992494821,-0.015480161791900898,0.44382956621242137,-0.4793359315094151,22934,0.01,6186,0.6186,0.7765,point_clouds/cow_126_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
127,551.0,197.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5800673028102743,0.489598090445369,0.5348326966278216,0.0904692123649053,0.38137543195302936,0.16614587027678707,0.14190423507260327,-0.22479414865561653,0.4584545261399563,-0.43176951193872326,19404,0.01,5359,0.5359,0.7893,point_clouds/cow_127_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
128,479.0,190.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5294715746454828,0.5709987569706187,0.5502351658080508,-0.04152718232513597,0.2651952081001283,0.33031871033886845,0.2759974045727368,-0.12858093866129525,0.45902676969987954,-0.48113077033794227,21161,0.01,5649,0.5649000000000001,0.734,point_clouds/cow_128_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
129,514.0,191.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.51445507251459,0.5948386775949949,0.5546468750547924,-0.08038360508040487,0.41812939423121975,0.19891594655304953,0.4916679527915199,-0.25044191996937515,0.45533549367550075,-0.45403107508591883,21853,0.01,6011,0.6011000000000001,0.767,point_clouds/cow_129_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
130,548.0,202.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5946852009902466,0.5067752147569057,0.5507302078735761,0.0879099862333409,0.43753594590603945,0.2663667466156167,0.30694911031018857,-0.17718682120546,0.4623772152233977,-0.4607513302846254,21347,0.01,5804,0.5804,0.7455,point_clouds/cow_130_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
132,418.0,179.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.6045329973762046,0.5727154711985096,0.5886242342873571,0.031817526177694955,0.6365539589028266,0.3458512166632738,0.5629355093173093,-0.06906685726054515,0.4213984862194299,-0.46312175215984414,23027,0.01,6004,0.6004,0.7703,point_clouds/cow_132_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
133,531.0,198.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5634810205927347,0.511785514116337,0.5376332673545359,0.05169550647639776,0.5321635070876058,0.20997801089783238,0.41619542406178966,-0.24346700217895817,0.4680395027825038,-0.47521088217058743,19841,0.01,5848,0.5848,0.7816,point_clouds/cow_133_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
134,512.0,188.0,rule1_first_u_shaped_valley,rule2_slow_to_fast_width_increase,0.5269798741575139,0.5942539006457073,0.5606168874016106,-0.06727402648819336,0.5884550120512394,0.06956974663150525,0.7099063575541507,-0.3373275555305187,0.424636131094848,-0.4082015475448278,19248,0.01,5076,0.5076,0.6343,point_clouds/cow_134_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
135,413.0,177.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5629051450802364,0.5121929698477826,0.5375490574640095,0.05071217523245375,0.4845508819648261,0.15204023763935307,0.34946329776404617,-0.3197643998083122,0.4907629481963015,-0.5112685817435801,21731,0.01,6045,0.6045,0.8532,point_clouds/cow_135_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
136,563.0,207.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5699246045936753,0.5914311934462669,0.5806778990199711,-0.0215065888525916,0.5598998618505138,0.46337019552216585,0.5905607147062183,0.012799848144065873,0.45161236235765384,-0.48633092480935447,21727,0.01,5914,0.5914,0.7537,point_clouds/cow_136_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
