candidate_group,added_position_count,model,position,outer_fold_selection_count,outer_fold_selection_rate,method_version
width_height,2,ols,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H3,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H4,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ols,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W1,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H2,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H3,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H4,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,ridge,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W1,18,0.29508196721311475,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W2,12,0.19672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W3,17,0.2786885245901639,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
